CourseNumber,CourseTitle,Career,Credits,Prerequisites,Antirequisites,Corequisites,Description,spring,fall
PHY132,Classical Physics II,Undergraduate,3.0,"[['PHY131', 'PHY141']]",NONE,"[['MAT132', 'MAT142', 'MAT126', 'MAT171', 'AMS161']]","Second part of a two-semester physics sequence for physical-sciences or engineering majors who have a strong mathematics background and are ready for a fast learning pace. It covers electromagnetism, electric circuit theory, and optics. Calculus is used concurrently with its development in MAT 132. Three lecture hours and one recitation hour per week. The Laboratory component, PHY 134, may be taken concurrently. Not for credit in addition to PHY 122, PHY 127, or PHY 142. This course has been designated as a High Demand/Controlled Access (HD/CA) course. Students registering for HD/CA courses for the first time will have priority to do so.",1,1
PHY133,Classical Physics Laboratory I,Undergraduate,1.0,NONE,NONE,"[['PHY125'], ['PHY126'], ['PHY131', 'PHY141']]",Two and one half hours of laboratory per week that corresponds to the content of PHY 131 or PHY 125+PHY 126. This course has been designated as a High Demand/Controlled Access (HD/CA) course. Students registering for HD/CA courses for the first time will have priority to do so. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.,1,1
PHY134,Classical Physics Laboratory II,Undergraduate,1.0,[['PHY133']],NONE,"[['PHY126'], ['PHY127'], ['PHY132'], ['PHY142']]",Two and one half hours of laboratory per week that corresponds to the content of PHY 132 or PHY 126+127. This course has been designated as a High Demand/Controlled Access (HD/CA) course. Students registering for HD/CA courses for the first time will have priority to do so. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.,1,1
PHY141,Classical Physics I: Honors,Undergraduate,3.0,NONE,NONE,"[['MAT131', 'AMS151'], ['PHY133']]","First part of a demanding two-semester sequence for students with the strongest background, interests, and abilities in science and mathematics. The topics covered in PHY 141 are similar to those in PHY 131 but are treated in more depth in a small-class setting. Students may transfer to PHY 131 at any time during the first half of each semester without penalty. Three lecture hours and  one recitation hour per week. PHY 141 may not be taken for credit in addition to PHY 121, PHY 125, or PHY 131. Advanced Placement Physics or a very strong course in high school Physics is recommended. This course has an associated fee.  Please see www.stonybrook.edu/coursefees for more information.",1,1
PHY142,Classical Physics II: Honors,Undergraduate,3.0,[['PHY141']],NONE,"[['MAT132', 'AMS161'], ['PHY134']]","Second part of a demanding two-semester sequence for students with the strongest background, interests and abilities in science and mathematics. The topics covered in PHY 142 are similar to those in PHY 132, but are treated in more depth in a small-class setting. Students may transfer to PHY 132 at any time during the first half of each semester without penalty. Three lecture hours and one recitation hour per week. PHY 142 may not be taken for credit in addition to PHY 122, PHY 127, or PHY 132. This course has an associated fee.  Please see www.stonybrook.edu/coursefees for more information.",1,1
PHY153,Data Analysis for Physics and Astronomy with Python,Undergraduate,3.0,"[['PHY133'], ['MAT125', 'MAT131', 'MAT141', 'AMS151', 'MAT171']]",NONE,NONE,"An introduction to statistical data analysis with modern techniques, including the Python programming language on Windows computers for students with no prior experience in programming. Topics include concepts and methods to characterize experimental data such as averages, variances, standard deviations, propagation of uncertainties, probability distributions, confidence intervals, hypothesis testing, chi-squared minimization, and straight line fitting.  Emphasis on practical data centric applications--preparation for experimental laboratory work and research.  Extensive use of computers outside the classroom will be required.",1,1
PHY191,Transitional Study,Undergraduate,1.0,NONE,NONE,NONE,Laboratory for transfer students to supplement courses taken at another institution. Students take the laboratory portion of a 100-level course for which they have taken the theoretical portion elsewhere.,1,1
PHY192,Transitional Study,Undergraduate,1.0,NONE,NONE,NONE,Laboratory for transfer students to supplement courses taken at another institution. Students take the laboratory portion of a 100-level course for which they have taken the theoretical portion elsewhere.,1,1
PHY231,Physics for Future Presidents,Undergraduate,3.0,NONE,NONE,NONE,"A study of key physics ideas that a newly-inaugurated President of the country, or a newly-hired President of a company, needs to know. This course equips the future President with enough knowledge of the physics behind a pressing issue to make an intelligent decision even in the face of conflicting advice about issues including energy,  national security, and space exploration. Politics is the art of balancing competing demands, and business involves profitably serving  customers, so the economics of many technologies will also be discussed.",1,1
PHY237,World Climate and Atmosphere,Undergraduate,3.0,NONE,NONE,NONE,"An exploration of current concerns about the greenhouse effect, acid rain, and global ozone loss, in a format accessible to non-science majors. The social and political steps being taken to limit global atmospheric pollution and climate change are discussed. Not for major credit. This course is offered as both ATM 237 and PHY 237.",1,1
PHY251,Modern Physics,Undergraduate,3.0,"[['PHY122', 'PHY126'], ['PHY132', 'PHY142'], ['PHY134'], ['MAT126', 'AMS161']]",NONE,"[['MAT203', 'MAT205', 'AMS261', 'MAT307']]","A survey of the major physics theories of the 20th century (relativity and quantum mechanics) and their impact on most areas of physics. It introduces the special theory of relativity, the concepts of quantum and wave-particle duality, Schroedinger's wave equation, and other fundamentals of quantum theory as they apply to nuclei, atoms, molecules, and solids. It is recommended that students take the laboratory component, PHY 252, concurrently. Three hours lecture and one hour recitation per week.",1,1
PHY252,Modern Physics Laboratory,Undergraduate,1.0,NONE,NONE,[['PHY251']],"Students perform some of the pivotal experiments of the 20th century. It is recommended that students take the lecture component, PHY 251, concurrently. Two hours of laboratory per week. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.",1,1
PHY277,Computation for Physics and Astronomy,Undergraduate,3.0,"[['PHY125', 'PHY126', 'PHY127'], ['PHY133', 'PHY134'], ['PHY131', 'PHY132'], ['PHY141', 'PHY142'], ['AMS151', 'MAT126', 'MAT131', 'MAT141', 'AMS161', 'MAT127', 'MAT132', 'MAT142', 'MAT171']]",NONE,NONE,An introduction to computing on UNIX/Linux computers. Fundamentals of using UNIX/Linux to write computer programs for numerical algorithms to solve computational physics and astronomy problems. Assignments are carried out in a high-level compiled programming language such as modern Fortran or C++ and require extensive use of SINC site computers outside the classroom.,1,1
PHY287,Introduction to Research,Undergraduate,0.00 - 3.00,NONE,NONE,NONE,"An opportunity for students, while still early in their studies, to do research commensurate with their level of preparation. Students work alongside faculty, post-doctoral fellows, and graduate students on ongoing research projects. Students must take the initiative to negotiate the opportunity. BNL and other scientists may be allowed as co-supervisors. May be repeated up to a total of 3 credits.",1,1
PHY291,Transitional Study,Undergraduate,1.0,NONE,NONE,NONE,A laboratory for transfer students to supplement a course taken at another institution. Students take the laboratory portion of a 200-level course for which they have taken the theoretical portion elsewhere.,1,1
PHY300,Waves and Optics,Undergraduate,4.0,"[['PHY132', 'PHY134', 'PHY142', 'PHY134', 'PHY126', 'PHY127', 'PHY134']]",NONE,"[['MAT203', 'MAT205', 'AMS261', 'MAT307']]","The physics of oscillations and waves, from mechanical waves to light waves to electron waves. Topics include resonance and normal modes of coupled oscillators, the wave equation and wave propagation, interference and diffraction, polarization and imaging, coherence, and lasers. Three lecture hours and one two-hour laboratory per week. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.",1,1
PHY301,Electromagnetic Theory I,Undergraduate,3.0,"[['PHY251'], ['PHY277'], ['MAT203', 'MAT205', 'AMS261', 'MAT307']]",NONE,[['MAT341']],The application of Maxwell's equations to solve time-independent boundary-value problems and to study the interactions of electric and magnetic fields with bulk matter.,1,1
PHY302,Electromagnetic Theory II,Undergraduate,3.0,[['PHY301']],NONE,NONE,A study of time-dependent electric and magnetic fields as derived from Maxwell's equations. Topics include the interrelations of electric and magnetic fields and their potentials; energy and momentum associated with electromagnetic fields and the Maxwell vacuum and matter; waveguides and transmission lines; special relativity for electromagnetism; retarded potentials for time-varying sources; and radiation of electromagnetic waves.,1,1
PHY303,Mechanics,Undergraduate,3.0,"[['PHY251'], ['PHY277'], ['MAT303', 'MAT305', 'AMS361', 'MAT308']]",NONE,NONE,"An in-depth study of classical mechanics, from the Newtonian to the Lagrangian and Hamiltonian formulations. First, Newtonian mechanics is reviewed and applied to more advanced problems than those considered in PHY 131 or 141. The Lagrangian and Hamiltonian methods are then derived from the Newtonian treatment and applied to various problems.",1,1
PHY306,"Thermodynamics, Kinetic Theory, and Statistical Mechanics",Undergraduate,3.0,[['PHY251']],NONE,NONE,"A study of the laws that govern physical systems in thermal equilibrium. In the first part, the concepts of temperature, internal energy, and entropy are analyzed and the first and second laws of thermodynamics are used to connect various properties that are independent of the microscopic details of the system. The second part is devoted to a microscopic study of a system in thermal equilibrium, from the kinetic theory of gases to statistical mechanics and the relation between entropy and probability, with application to simple examples in classical and quantum statistics.",1,1
PHY307,Physical and Mathematical Foundations of Quantum Mechanics,Undergraduate,4.0,"[['PHY122', 'PHY126'], ['PHY127'], ['PHY134', 'PHY132'], ['PHY134', 'PHY142'], ['PHY134'], ['MAT132', 'MAT142', 'MAT127', 'MAT171', 'AMS161']]",NONE,"[['MAT203', 'MAT205', 'AMS261', 'MAT307']]","Physical and mathematical foundations of quantum mechanics. Maxwell waves and their properties: intensity, energy density, and momentum density. Planck-Einstein relation between energy and frequency for light quanta. De Broglie relation between momentum and wavelength. Number density and probability density of photons. One-photon quantum mechanics, with Maxwell field as the wave function. Diffraction phenomena. Uncertainty relation between wavelength and position, hence between momentum and position. Not for credit in addition to PHY 390 with similar topic.  Not for credit in addition to PHY 274.",1,1
PHY308,Quantum Physics,Undergraduate,3.0,[['PHY300']],NONE,NONE,"The concepts, historical development, and mathematical methods of quantum mechanics. Topics include Schroedinger's equation in time-dependent and time-independent forms; one- and three-dimensional solutions, including the treatment of angular momentum and spin. Applications to simple systems, especially the hydrogen atom, are stressed.",1,1
PHY311,Connections in Science,Undergraduate,1.0,"[['PHY122', 'PHY126'], ['PHY127'], ['PHY134', 'PHY132', 'PHY142']]",NONE,NONE,"A selection of the interrelations between physics and other scientific and technological fields, using modern examples from engineering, medicine, and applied mathematics, among others. The course is taught as a seminar and includes guest lecturers, tours of laboratories, and discussion of classic and current research projects. Appropriate for physics and non-physics majors alike.",1,1
PHY313,Mystery of Matter,Undergraduate,3.0,NONE,NONE,NONE,"Exploration of our understanding of the basic constituents of matter, and of how that understanding and the tools developed to study them affect aspects of contemporary society. Historical discoveries and their place in social and political institutions of the time are considered, along with issues of government funding and the cost to society. Includes a discussion of developments at Brookhaven National Laboratory and their scientific and social impact. Not intended for Physics majors with U3 or U4 status.",1,1
PHY335,Electronics and Instrumentation Laboratory,Undergraduate,3.0,"[['PHY251'], ['WRT102']]",NONE,NONE,"Students will design, build and test basic DC and AC circuits which perform a useful function, as viewed by physicists, involving resistors, capacitors, transformers, diodes, transistors and operational amplifiers. Students will measure these circuits using digital multi-meters and digital oscilloscopes. Understanding of analog circuits will be stressed including negative feedback applied to operational amplifiers. Two three-hour laboratories per week. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.",1,1
PHY382,"The Quantum Moment: Quantum Mechanics in Philosophy, Culture, and Life (III)",Undergraduate,3.0,NONE,NONE,NONE,"This course explores the implications and influence, real and alleged, of quantum mechanics on fields other than physics.  What does quantum mechanics mean, if anything, for philosophy, ethics, and social behavior?  At the same time, we shall look into how social and cultural influences may have affected the way that quantum mechanics was formulated, and how it has evolved.   We shall review the early history of quantum mechanics, and discuss some of the important debates at the founding of quantum mechanics.   Students will not be expected to learn the mathematics in depth, only the introduction provided by the instructors aimed at non-science students.  Besides readings, the course will also involve plays, films, and guest speakers.  Students will be expected to work on a final project, to be presented in class.  This course is offered as both PHI 382 and PHY 382.",1,1
PHY390,Special Topics in Physics,Undergraduate,3.0,NONE,NONE,NONE,May be repeated once as the topic changes.,1,1
PHY405,Advanced Quantum Physics,Undergraduate,3.0,"[['PHY303'], ['PHY308'], ['MAT341']]",NONE,NONE,"Study of quantitative methods of quantum mechanics, including perturbation theory and the WKB approximation, scattering theory, and elements of quantum-information theory. Symmetry principles are stressed and advanced mathematical techniques are used throughout the course.",1,1
PHY408,Relativity,Undergraduate,3.0,[['PHY303']],NONE,[['PHY302']],A development of the special theory of relativity leading to general relativity with applications to cosmology.,1,1
PHY420,Introduction to Accelerator Science and Technology,Undergraduate,3.0,"[['PHY277', 'PHY300', 'PHY301', 'PHY302'], ['PHY303']]",NONE,[['PHY335']],"This course will introduce students to the field of accelerator science and technology, a very versatile branch of physics and technology. This course is composed of the following parts: introduction of accelerator history and their basic principles, basic beam dynamics in synchrotrons, introduction of challenges in Accelerator physics, and introduction of typical beam measurements and instrumentations.",1,1
PHY431,Nuclear and Particle Physics,Undergraduate,3.0,[['PHY308']],NONE,NONE,"Students will study a selection of topics from the properties of elementary particles, the strong, weak, and electromagnetic forces, symmetries, particle interaction and decay rates, nuclear structure, nuclear reactions, nuclear forces, the interaction of radiation with matter, accelerators and radiation detectors.",1,1
PHY444,Experiential Learning,Undergraduate,0.0,[['WRT102']],NONE,NONE,"This course is designed for students who engage in a substantial, structured experiential learning activity in conjunction with another class. Experiential learning occurs when knowledge acquired through formal learning and past experience are applied to a ""real-world"" setting or problem to create new knowledge through a process of reflection, critical analysis, feedback and synthesis. Beyond-the-classroom experiences that support experiential learning may include: service learning, mentored research, field work, or an internship.",1,1
PHY445,Senior Laboratory,Undergraduate,3.0,"[['PHY308', 'PHY335'], ['WRT102']]",NONE,NONE,"A selection of historically important experiments from atomic and nuclear spectroscopy, particle physics, solid-state and low-temperature physics  performed with modern instrumentation. Each student does three experiments, usually with a partner. As students progress, they are encouraged to pursue independent projects, without rigid formats or procedures. The emphasis is on the development of experimental skills and on individual, ethical, professionally acceptable analysis and presentation of results, both orally and in writing. Two three-hour laboratory sessions per week. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.",1,1
PHY447,Tutorial in Advanced Topics,Undergraduate,1.00 - 6.00,NONE,NONE,NONE,"Selected readings in advanced topics for upper-division students of unusual ability and substantial accomplishments. Prior to the beginning of the semester, the topic to be studied is selected by the supervising member of the faculty and a reading assignment is planned. Weekly conferences with this faculty member are devoted to discussion of material, resolution of problems encountered, and assessment of the student's progress. May be repeated up to a total of 6 credits.",1,1
PHY451,Quantum Electronics,Undergraduate,3.0,NONE,NONE,[['PHY405']],"Introduction to modern atomic physics for the laser era. Emphasis on the interaction between atoms and light, as well as on atomic structure and how it affects this interaction. Modern applications such as laser cooling, atom trapping, precision spectroscopy with frequency comb, quantum information, and others will be discussed.",1,1
PHY452,Atomic Physics and Lasers,Undergraduate,3.0,"[['PHY300'], ['PHY308']]",NONE,NONE,"This course begins with an in-depth introduction to modern atomic physics for the laser era.  Emphasis is on the fundamentals of light-matter interactions as well as on atomic structure and how it affects the interaction. The main topics include laser fundamentals, atom trapping, precision spectroscopy with frequency comb, quantum information and others.",1,1
PHY458,Speak Effectively Before an Audience,Undergraduate,0.0,NONE,NONE,[['WRT102']],A zero credit course that may be taken in conjunction with any PHY course that provides opportunity to achieve the learning outcomes of the Stony Brook Curriculum's SPK learning objective.,1,1
PHY459,Write Effectively in Physics,Undergraduate,0.0,[['WRT102']],NONE,NONE,"A zero credit course that may be taken in conjunction with any 300- or 400-level PHY course, with permission of the instructor. The course provides opportunity to practice the skills and techniques of effective academic writing and satisfies the learning outcomes of the Stony Brook Curriculum's WRTD learning objective.",1,1
PHY472,Solid-State Physics,Undergraduate,3.0,[['PHY306']],NONE,NONE,"A study of the different types of solids, with emphasis on their thermal, electrical, and optical properties. It introduces the concepts of phonons and electronic bands, and applications to metals, semiconductors, superconductors, and magnetism.",1,1
PHY475,Undergraduate Teaching Practicum,Undergraduate,0.00 - 3.00,NONE,NONE,NONE,"An opportunity for selected undergraduates to collaborate with the faculty in teaching at the introductory level. In addition to working as tutors and as laboratory assistants, students meet once a week with a faculty supervisor to discuss problems they have encountered and to plan future activities. Students are generally assigned to assist in courses they have completed and in which they have excelled. Not for major credit. Can be repeated up to a maximum of 6 credits with a maximum of 3 credits per course taught.",1,1
PHY487,Research,Undergraduate,0.00 - 6.00,NONE,NONE,NONE,"An opportunity for students to conduct faculty-supervised research for academic credit. Students must take the initiative to negotiate the opportunity. BNL and other scientists may be allowed as co-supervisors. Research proposals must be prepared by the student and submitted for approval by the supervising faculty before the beginning of the credit period. An account of the work and the results achieved is submitted to the supervisor before the end of the credit period. May be repeated, up to a total of 6 credits.",1,1
PHY501,Classical Mechanics,Graduate,3.0,NONE,NONE,NONE,"Analytical classical mechanics including Lagrangian and Hamiltonian formulations and the Hamilton-Jacobi theory. Variational principles, symmetries and conservation laws. Selected advanced problems such as parametric and nonlinear oscillations, planetary motion, classical theory of scattering, rigid body rotation, and deterministic chaos. Basic notions of elasticity theory and fluid dynamics.",1,1
PHY503,Methods of Mathematical Physics I,Graduate,3.0,NONE,NONE,NONE,"A selection of mathematical techniques useful for physicists. Topics are selected from: linear algebra, complex variables, differential equations, asymptotic analysis, special functions, boundary value problems, integral transforms, perturbation theory as applied to linear and nonlinear systems. This course should be taken by entering graduate students seeking enrichment in these areas.
Fall and Spring,",1,1
PHY504,Computational Methods in Physics and Astrophysics,Graduate,3.0,NONE,NONE,NONE,"An introduction to procedural and object-oriented programming in a high-level language such as C++ or modern Fortran with examples and assignments consisting of rudimentary algorithms for problems in physics and astronomy. Students will use the UNIX/Linux operating system to write programs and manage data, and the course will include an introduction to parallel computing and good programming practices such as version control and verification. The course will prepare students for courses in algorithms and methods that assume a knowledge of programming.

Fall or Spring, 3 Credits, letter Graded (A, A-, B+, etc.)",1,1
PHY505,Classical Electrodynamics,Graduate,3.0,NONE,NONE,NONE,"Electrostatics and Magnetostatics in vacuum and medium; Green's functions;  Maxwell's equations and gauge invariance; Electromagnetic wave propagation; Radiation, scattering, interference, and diffraction; Special relativity;  Radiation by relativistic charges; Additional topics as time permits. Three lecture hours plus two recitation hours per week.
Fall, 3 Credits, Graded A, A-, B+, etc.,  Prerequisites: PHY 301-302 or similar",1,1
PHY510,Introduction to Nonlinear Dynamics,Graduate,3.0,NONE,NONE,NONE,"This course concentrates on developing the tools used to analyze models of dynamical systems associated with physical phenomena, such as coupled electrical mechanical, chemical and biological oscillators, amplitude equations, symplectic maps, etc. There is a discussion of the basic theorems, as well as methods used to derive perturbation solutions for differential equations and maps using the method of normal forms.
Fall or Spring,",1,1
PHY511,Quantum Mechanics I,Graduate,3.0,NONE,NONE,NONE,"First course in a two-part sequence.  Topics include basic quantum physics and mathematical apparatus; application to one dimensional examples and simple systems.  Symmetries, angular momentum, and spin.  Additional topics as time permits.
Fall,",1,1
PHY512,Quantum Mechanics II,Graduate,3.0,NONE,NONE,NONE,"Second course in a two-part sequence, covering variational principles, perturbation theory, relativistic quantum mechanics, quantization of the radiation field, many-body systems.  Application to atoms, solids, nuclei and elementary particles, as time permits.
Spring,",1,1
PHY514,Current Research Instruments,Graduate,3.0,NONE,NONE,NONE,"In a series of distinct units, various members of the experimental research faculty describe the nature of their work, explain the major principles of their laboratory instruments, discuss how these instrument systems function, and conduct tours of their laboratories showing the apparatus in action. The student becomes familiar with most of the experimental research instrumentation in the department.
Fall or Spring,",1,1
PHY515,Methods of Experimental Research I,Graduate,3.0,NONE,NONE,NONE,"An experimental course required for all graduate students. The goal of the course is to provide firsthand experience with the nature of experimental work. For students oriented toward theory, the course gives a background for reading and evaluating experimental papers. The course is based on classic measurements in nuclear, particle, atomic, condensed matter physics, and astronomy. Students can gain experience in handling cryogenic liquids, vacuum systems, lasers, pulse counting and coincidence methods, resonance measurements, and electronic instrumentation, such as lock-in amplifiers, particle detectors, coincidence counters, computer control, etc. Numerical analysis of data, presentation of results in written, graphic, and oral form, and meaningful comparison of experiments and theory are part of the course. Working alone or with, at most, one partner, each student must do one experiment from each of four different groups.",1,1
PHY517,Laboratory Course in Astronomical Techniques,Graduate,3.0,NONE,NONE,NONE,"A course designed to introduce the theory, design, and operation of modern astronomical instrumentation and to familiarize the student with the use of telescopes. Current astronomical techniques will be discussed with emphasis on methods of observational measurements and reduction of data. Emphasis is given on optical techniques appropriate for wavelengths shorter than one micron. Extensive laboratory and observing exercises may be expected.
Spring, alternate years,",1,1
PHY518,Applications of Synchroton Radiation,Graduate,1.00 - 3.00,NONE,NONE,NONE,"An introduction to the principles of synchrotron radiation is followed by a series of lectures given by graduate faculty and guest lecturers with expertise in using synchrotron radiation for research in physics, chemistry, materials science, biology and medicine.  Most of these presentations are followed by hands-on experience with synchrotron instrumentation at Brookhaven National Laboratory.  Access to user facilities, including safety requirements, preparation of user proposals, user training and other issues, and also covered.
Spring, S/U grading, 0-3 credits",1,1
PHY521,Stars,Graduate,3.0,NONE,NONE,NONE,"A study of the atmospheres, interiors, and evolution of stars. The contact between theory and observations is emphasized. Stellar atmospheres in hydrostatic and radiative equilibrium described. Models for the calculation of stellar spectra are discussed.  Stellar winds are studied. Next, theoretical studies of stellar interiors and evolution, including equations of state, energy transport, and nuclear energy generation, are developed. Structures of main sequence, red giant, pre-main sequence, and white dwarves are studied and compared to observations. The evolution of single stars up to supernovae and the peculiar evolution of close binary systems are also studied.
Fall, alternate years, 0-3 Credits,",1,1
PHY522,Interstellar Medium,Graduate,3.0,NONE,NONE,NONE,"A study of the interstellar medium with emphasis on physical processes. Topics include kinetic theory, equation of transfer, spectral lines, non-thermal emission, ionization effects of dust, and formation and spectroscopy of molecular clouds. The components of the interstellar medium and the interactions between them are discussed in detail, as well as the process of star formation.
Spring, alternate years,",1,1
PHY523,Galaxies,Graduate,3.0,NONE,NONE,NONE,"A basic course on the observational and theoretical aspects of the content, morphology, kinematics, and dynamics of galaxies. Topics include the size, shape, and location of the sun in the Milky Way; stellar populations; the disk and spheroidal components; galactic rotation; distance determination in the Milky Way and to external galaxies; galaxy classification and the Hubble Law. Theoretical topics center on stellar dynamics, including potential theory; stellar orbits; and spiral structure. The course also includes a brief introduction to cosmology.
Fall, alternate years,",1,1
PHY524,Cosmology,Graduate,3.0,NONE,NONE,NONE,"A basic course on cosmology: Hubble expansion, Friedmann universes, age of the universe, microwave background radiation, big-bang nucleosynthesis, inflation, growth  of gravitational instabilities and galaxy formation, correlation functions, local density and velocity perturbations, and dark matter.
Prerequisite: PHY 523 or permission of instructor
Spring, alternate years,",1,1
PHY529,Quantum Electronics,Graduate,1.00 - 3.00,NONE,NONE,NONE,"Introduction to modern atomic physics for the laser era for graduate students. Emphasis on the interaction between atoms and light, as well as on atomic structure and how it affects this interaction. Modern applications such as laser cooling, atom trapping, precision spectroscopy with frequency comb, quantum information, and others will be discussed. Not for satisfying physics Ph.D. breadth course requirements.
Spring every year, 1-3 credits, ABCF grading",1,1
