CourseNumber,CourseTitle,Career,Credits,Prerequisites,Antirequisites,Corequisites,Description,spring1,fall1,spring2,fall2
BME404,Essentials of Tissue Engineering,Undergraduate,3.0,"[['BIO202'], ['CHE132', 'CHE321']]",NONE,NONE,"Topics covered are: developmental biology (nature's tissue engineering), mechanisms of cel-cell and cell-matrix interactions, biomaterial formulation, characterization of biomaterial properties, evaluation of cell interactions with biomaterials, principles of designing an engineered tissue. Considers manufacturing parameters such as time, rate, cost, efficiency, safety and desired product quality as well as regulatory issues.",1,1,1,1
BME420,Computational Biomechanics,Undergraduate,3.0,[['BME303']],NONE,NONE,"Introduces the concepts of skeletal biology; mechanics of bone, ligament, and tendon; and linear and nonlinear
properties of biological tissues. Principles of finite differences method (FDM) and finite elements method (FEM) to solve biological problems. Both FDM and FEM are applied to solve equations and problems in solid and porous media. Requires knowledge of Fortran or C programming.",1,1,1,1
BME430,Quantitative Human Physiology,Undergraduate,3.0,"[['BIO202'], ['AMS261', 'MAT203', 'MAT205']]",NONE,NONE,"This course will provide an introduction to the study of quantitative physiology. This course will introduce the physical, chemical and mathematical foundation of physiology. That knowledge will then be applied to membranes, transport, metabolisms, excitable cells and various organ systems.",1,1,1,1
BME440,Biomedical Engineering Design,Undergraduate,3.0,[['BME301']],NONE,NONE,"Introduction to product development from the perspective of solving biomedical, biotechnological, environmental, and ergonomic problems incorporating appropriate engineering standards and multiple realistic constraints. Teamwork in design, establishing customer needs, writing specifications, and legal and financial issues are covered in the context of design as a decision-based process.  A semester-long team design project follows and provides the opportunity to apply concepts covered in class.",1,1,1,1
BME441,Senior Design Project in Biomedical Engineering,Undergraduate,3.0,[['BME440']],NONE,NONE,"Formulation of optimal design problems in biomedical and physiological settings. Introduces optimization techniques for engineering design and modeling for compact and rapid optimization of realistic biomedical engineering problems. Necessary conditions for constrained local optimum with special consideration for the multiple realistic constraints in which the product designed should function in terms of the settings (corporal, ex-corporal, biological, etc.), the engineering standards, and the safety considerations involved which are unique to biomedical engineering. Students carry out the detailed design of projects chosen early in the semester. A final design report is required. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.",1,1,1,1
BME444,Experiential Learning,Undergraduate,0.0,[['WRT102']],NONE,NONE,"This course is designed for students who engage in a substantial, structured experiential learning activity in conjunction with another class. Experiential learning occurs when knowledge acquired through formal learning and past experience are applied to a ""real-world"" setting or problem to create new knowledge through a process of reflection, critical analysis, feedback and synthesis. Beyond-the-classroom experiences that support experiential learning may include: service learning, mentored research, field work, or an internship.",1,1,1,1
BME461,Biosystems Analysis,Undergraduate,3.0,[['BME212']],NONE,NONE,"Fundamentals of the linear time series analyses framework for modeling and mining biological data. Applications range from cardiorespiratory; renal blood pressure, flow, and sequence; to gene expression data.  Tools of data analysis include Laplace and Z transforms, convolution, correlation, Fourier transform, transfer function, coherence function, various filtering techniques, and time-invariant and time-varying spectral techniques.",1,1,1,1
BME475,Undergraduate Teaching Practicum,Undergraduate,3.0,NONE,NONE,NONE,Students assist the faculty in teaching by conducting recitation or laboratory sections that supplement a lecture course. The student receives regularly scheduled supervision by the faculty instructor. May be used as an open elective and repeated once.,1,1,1,1
BME476,Undergrad Teaching Practicum II,Undergraduate,3.0,NONE,NONE,NONE,Students assist the faculty in teaching and learn independent teaching skills while observed by the instructor. May be used as an open elective.,1,1,1,1
BME481,Biosensors,Undergraduate,3.0,"[['BIO202'], ['BME271', 'ESE271']]",NONE,NONE,"A comprehensive introduction to the basic features of biosensors. Discusses types of most common biological agents (e.g. chromophores, fluorescence dyes) and the ways in which they can be connected to a variety of transducers to create complete biosensors for biomedical applications. Focus on optical biosensors and systems (e.g. fluorescence spectroscopy, microscopy), and fiberoptically-based biosensing techniques .  New technologies such as molecular beacons, Q-dots, bioMEMs, confocal microscopy and multiphoton microscopy, and OCT will be referenced.",1,1,1,1
BME488,Biomedical Engineering Internship,Undergraduate,3.00 - 6.00,[['BME212']],NONE,NONE,"Participation in off-campus biomedical engineering practice. Students are required to submit a proposal to the undergraduate program director at the time of registration that includes the location, immediate supervisor, nature of the project, and hours per week for the project. One mid-semester report and one end of semester report are required. May be repeated up to a limit of 12 credits.",1,1,1,1
BME494,Honors Seminar on Research,Undergraduate,1.0,NONE,NONE,NONE,"The course outlines components of biomedical research vs design that includes experimental design, data recording, analysis and presentation at scientific meetings, as well as engineering design schematics, patents, and presentations to angel investors. The course culminates with an Honors Thesis Proposal that follows either a research (hypothesis testing) or design (prototype construction) pathway.",1,1,1,1
BME495,Honors Independent Research,Undergraduate,3.0,[['BME494']],NONE,NONE,The course involves research (hypothesis testing) or engineering design (prototype construction) that the student completes under the supervision of the faculty member. The course culminates with an Honors Thesis draft (Fall semester) or Honors Thesis that is orally defended (Spring semester). Both BME 494 and BME 495 must be taken to qualify to graduate with Honors in BME.,1,1,1,1
BME499,Research in Biomedical Engineering,Undergraduate,0.00 - 3.00,NONE,NONE,NONE,An independent research project with faculty supervision.,1,1,1,1
BME501,Engineering Principles in Cell Biology,Graduate,3.0,NONE,NONE,NONE,"Course content is directed toward describing the physico-chemical and biological interactions within cells, and between cells and their environment. The course has two main objectives: 1) to equip students with essential knowledge and stimulate intuitive understanding of molecular and cell biology; 2) to introduce and develop common engineering concepts and approaches for quantitative analysis of physical-chemical systems in context of cell biology. The long-term goal is to help apply their knowledge of molecular and cellular phenomena and the analytical techniques learned in this course to design and development of products and processed for improving help and/or medical care. Therefore, a major component of this course will be an individual project requiring the development of a patent for a biomedical device or process, which relies on one or more of the biological (cell and molecular level) and engineering principles covered in class.
Fall, 3 credits, ABCF grading",1,1,1,1
BME502,Advanced Numerical & Computation Analysis Applied to Biological Systems,Graduate,3.0,NONE,NONE,NONE,"Numerical analyses of Biological Data.  A unified mathematical/time series framework for modeling and mining biological data.  Applications range from cardio-respiratory, renal blood pressure/flow and sequence (DNA,RNA, proteins) to gene expression data.  Tools of data analysis include linear algebra, interpolation and extrapolation, parametric and nonparametric spectral estimation with the FFT and singular value decomposition, statistical description of data and integration of ordinary differential equations.  Special focus will be placed on the use of linear and nonlinear numerical methods for the identification of physiological system dynamics and the development of computer simulation techniques to study dynamic response of physiological systems. Cannot be repeated for credit.
Spring, Every Year, 3 Credits, ABCF Grading",1,1,1,1
BME503,Cell and Molecular Imaging,Graduate,3.0,NONE,NONE,NONE,"This course will cover basics of optics, microscopy, spectroscopy and fluorescence in the context of imaging at the cellular and molecular level.  Recently developed advanced imaging techniques for probing protein interactions and live cell functions are also discussed.  The course is organized in 3 modules:
     1.   Optics and Spectroscopy (e.g., Properties of light, polarization, diffraction, spectra)
     2.   Fundamentals of Fluorescence and Applications to Molecular and Cellular Measurements (e.g., Jablonsky diagram,
           Stokes' shift, emission, excitation spectra, fluorescence anisotropy)
     3.   Signal Processing, Image Analysis Techniques and Scientific Visualization (e.g., temporal and spatial filters, 1D and 2D
           Fast Fourier transform, spectral analysis, cross-correlation).
Theory will be complemented by extensive use of Matlab and its Image Processing Toolbox.
Fall",1,1,1,1
BME504,Biomaterials Science and Analysis,Graduate,3.0,NONE,NONE,NONE,"Course content is directed toward providing an introductory treatment of the engineering issues implicit in understanding living tissue interactions with processed materials. Emphasis on identifying and eliminating surface contamination, corrosion, and optimizing material surface properties and compatibility.
Spring,",1,1,1,1
BME505,Principles and Practice of Biomedical Engineering,Graduate,1.0,NONE,NONE,NONE,"Introduces first year students to the basic and clinical research at the cutting edge of biomedical engineering. The course has two key components: the first is a seminar series presented by internationally renowned bioengineers. An interactive discussion of topic-specific scientific literature precedes the formal presentation. The second component of the course is teaming up with a physician, in rounds, the operating theater, clinics, etc., to get exposure to the real-life problems which face the medical community. It is hoped that the mix of science and clinic will move students towards determining how they can make contributions to health and society.
2 Credits, ABCF Grading",1,1,1,1
BME508,Molecular and Cellular Biomechanics,Graduate,3.0,NONE,NONE,NONE,"Course content revolves around the effects and interactions of mechanical forces at the cellular and molecular level.  The topics range from describing the molecular and cellular basis of the adaptation of tissues to physical signals, to prescribing specific mechanical environments for improved tissue engineering, to delineating relevant molecular, cellular, and biomechanical techniques, to issues involved in the development and approval of diagnostics and therapeutics in molecular engineering.  Course format is based on lectures and discussion of the current literature. For a deeper understanding of the scientific literature, this course will contain a module on the design and analysis of experiments (i.e., applied biostatistics).  

Fall and Spring, 3 credits, Letter graded (A, A-, B+, etc.)
May be repeated 2 times FOR credit.",1,1,1,1
BME509,Fundamentals of the Bioscience Industry,Graduate,3.0,NONE,NONE,NONE,"A 4-module course set up to provide students with a comprehensive introduction to the complexities of the bioscience business environment.
Prerequisite: Must be either a BME or MBA graduate student (West Campus).  All other students must obtain permission from the instructor.
Spring, every year,",1,1,1,1
BME510,Biomechanics,Graduate,3.0,NONE,NONE,NONE,"This course emphasizes the application of continuum mechanics to living tissues and organs in order to describe the material properties and their behavior under loading and stress. The interrelationship between biomechanics and physiology is examined in normal function and in disease processes. This course focuses on the physiology of tissue and organ systems in the context of mechanics, stress, strain, viscoelasticity and material behavior, and the constitutive equations and the field equations governing fluids and fluid flow, with an emphasis on the cardiovascular and musculoskeletal systems. Emphasis is placed on the utilization of engineering principles to analyze processes at the tissue and organ levels, covering soft and hard tissues and organs (blood, cardiovascular system, bone, cartilage, etc.) and to understand how these principles could be applied towards the design and development of prosthetic devices.
(Fall Term, Three Credits).",1,1,1,1
BME511,BioTechnology Enterprises 2: Products & Markets,Graduate,3.0,NONE,NONE,NONE,"This course will provide students with a comprehensive introduction to the bioscience business environment by examining the commercialization process ¿ how an idea becomes a product. This includes evolving business models, product development cycles, regulatory issues, finance, managerial challenges and future trends in the life sciences. Special focus will be placed on preparing students to translate concepts presented in the course into commercial analysis of a technology. Must be either BME or MBA Graduate Student (West Campus)",1,1,1,1
BME512,Fundamentals of the Bioscience Industry,Graduate,3.0,NONE,NONE,NONE,"This course will build on topics presented in BME-511: Fundamentals of the Bioscience Industry Program, and is a pre- or co-requisite for enrollment. Students will work through modules addressing each component of the commercialization process including intellectual property strategy, market analysis and opportunity, regulatory pathway and technology financing. Students will work in groups to develop commercialization reports based on real intellectual property disclosures, preforming due diligence to identify areas of opportunity and challenges of their technologies. Based upon the commercialization report, students¿ groups will create a hypothetical company, and evolve their technology analyses into investor-like presentations delivered at a mock pitch session at the end of the term.",1,1,1,1
BME513,Introduction To Optical & Terahertz Imaging,Graduate,3.0,NONE,NONE,NONE,"This course provides the foundations for advanced topics in modern optical imaging techniques,
including nonlinear optics, Fourier optics, ultrafast time-domain and terahertz spectroscopy and
imaging. The emphasis will be on connecting theory to modern technological advancements
and their biomedical applications. The course consists of the following four general modules:
Review of fundamental Optics; Nonlinear Optics; Fourier Optics; Ultrafast and Terahertz Optics",1,1,1,1
BME515,Biomedical Optical Imaging,Graduate,3.0,NONE,NONE,NONE,"An introduction to the principles and applications of biomedical optical imaging, with an emphasis on high-resolution imaging and spectroscopy. This course provides a conceptual overview, along with basic mathematical theory (assignments), of some of the key concepts that are relevant to biomedical optical imaging, including Gaussian beams, refraction, total internal
reflection, dispersion, coherence, interference, diffraction, and aberrations. Fundamental concepts in tissue optics will be introduced, including scattering in the ballistic and diffuse regimes. Some of the basic photophysics of absorption, fluorescence, and Raman spectroscopy will be discussed. Students will research and present on various techniques such
as interferometry (optical coherence tomography), optical-sectioning microscopy (confocal and multiphoton), light-scattering spectroscopy (LSS, CLASS), and super-resolution microscopy (PALM, STORM, SIM, and STED). Finally, a brief survey of optical molecular imaging will be
provided, including contrast agent design, delivery issues, and imaging techniques.",1,1,1,1
BME517,Radiation Physics,Graduate,3.0,NONE,NONE,NONE,"This graduate offering provides an initial physical background required for the study of the Medical Physics. Sources of ionizing radiation including radioactivity (natural and manmade) and x-ray producing devices are studied as well as sources of nonionizing radiation such as radiofrequency and ultrasound. The physical aspects of these radiations are characterized by their interaction with matter and methods for their detection. Each student will select and present a proposal for solving a clinical medical physics problem.
Prerequisites: Modern Physics or equivalent
Fall,",1,1,1,1
BME518,Radiobiology,Graduate,3.0,NONE,NONE,NONE,"The biological consequences of irradiation (ionizing, ultrasound, laser, RF, etc.) will be examined. Interaction mechanisms will first be examined followed by examination of the radiation impact at the molecular and cellular level. The use of radiation for therapeutic gain will be considered. As well, models will be developed for risk estimates. Topics to be covered will include: target theory, biological response, NSD and risk estimates.
Spring,",1,1,1,1
BME519,Medical Health Physics,Graduate,3.0,NONE,NONE,NONE,"This course discusses the health physics and safety issues associated with radiological devices, facilities and procedures.
Prerequisite: BME 517.
Spring,",1,1,1,1
BME520,Lab Rotation I,Graduate,1.00 - 3.00,NONE,NONE,NONE,,1,1,1,1
BME521,Lab Rotation II,Graduate,1.00 - 3.00,NONE,NONE,NONE,,1,1,1,1
BME525,Pathways from Bed to Bedside,Graduate,3.0,NONE,NONE,NONE,"The course will emphasize diverse pathways from laboratory discoveries to product
commercialization in Tissue Engineering and Regenerative Medicine (TERM). Depending on the field of discovery, pathways can be quite dissimilar, e.g. devices, biologics, drugs, or combination products. The foundational sciences include: biomaterials, biological processes including cell biology and physiology, genomics, proteomics, metabolomics, stem cell differentiation, growth factors, and tissue/organ development. An overarching core principle is
engineering design. The course will be divided into 3 modules: Discovery and validation, Transition from laboratory prototype to fixed prototype, Progression through clinical trials. Although scale-up manufacturing and commercialization will be discussed, these final steps to the market-place will not be covered in detail. Students will work in teams. Each team will
select a TERM project with a specific type of bench to bedside pathway (team size will depend on the class size). However, other BME areas may be included, e.g. microelectron-mechanical systems (MEMS), can be designed to stimulate muscle, thus avoid atrophy while awaiting a TERM construct. For such projects, the team should choose an appropriate BME faculty advisor to guide them. Reading material and writing/speaking assignments will be the basis for in-class
discussions with embellishment of specific engineering or scientific principles.",1,1,1,1
BME526,Biological Systems Engineering,Graduate,3.0,NONE,NONE,NONE,"This course is a hands-on study of systems engineering in biology, using computer modeling to conceptualize and simulate a wide variety of applications.  All skills taught in class. Appropriate and applicable to all BME tracks. May not be repeated for credit.
Fall, Spring , 3 Credits ABCF Grading",1,1,1,1
BME530,Medical Image Formation,Graduate,3.0,NONE,NONE,NONE,"This course covers the physical aspects of medical image formation. Image receptor design/optimization, reconstruction techniques, device hardware and performance characteristics are considered.
Fall,",1,1,1,1
BME531,Biosensing and Bioimaging,Graduate,3.0,NONE,NONE,NONE,"Basic concepts of biosensing and bioimaging, which include the elements of biological systems and bioimmobilizers, traditional electrode and novel optical transducers, and advanced biomedical optical imaging systems.
Fall,",1,1,1,1
BME532,Time Series Modeling of Biological Systems,Graduate,3.0,NONE,NONE,NONE,"A unified mathematical/time series framework for modeling and mining biological data.  Applications range from cardio-respiratory, renal blood pressure/flow and sequence (DNA, RNA, proteins) to gene expression data.  Tools of analysis include neural networks, time-invariant and time-varying spectral methods, fractal and nonlinear dynamics techniques, hidden Markov Model, clustering analysis, and various system identification techniques.
Spring,",1,1,1,1
BME533,Biomedical Imaging Quantification and Analysis,Graduate,3.00 - 4.00,NONE,NONE,NONE,"The overall objective is to introduce conceptual, mathematical, and
computational implementational aspects of analyzing biomedical signals and image
processing, including real data with preclinical and clinical applications based on the recently developing neurophotonics and optical neuroimaging field. Programming examples using MATLAB will be presented. The students will also be introduced to GUIbased Virtual Photonics and Virtual Tissue Simulator. Practical and recent studies with current state-of-the-art imaging technologies in the field are also discussed. The course involves traditional-style lectures, small lab experiments to apply the basic concepts, an imaging facility tour, and a concise final paper/grant writeup and presentation on the subject of the student's choice in accordance with the instructor.",1,1,1,1
BME534,Functional Genomics,Graduate,3.0,NONE,NONE,NONE,"Course provides foundation in concepts of functional genomics and proteomics. Topics include organization and complexity of the mammalian genome and mechanisms of expression of genes, gene expression analysis technologies with a strong focus on construction and utilization of DNA microarrays, and tools for determining gene function by perturbation of gene expression.
Spring,",1,1,1,1
BME540,Radiation Oncology Physics,Graduate,3.0,NONE,NONE,NONE,"This course provides a background in therapeutic instrumentation, dosimetry and treatment planning.
Prerequisite: BME 517
Fall,",1,1,1,1
BME546,Statistical Analysis of Physiological Data,Graduate,1.0,NONE,NONE,NONE,"Statistical methods useful in analyzing common types of physiological data. Topics include probability, data distributions, hypothesis testing, with parametric and non-parametric methods, ANOVA, regression and correlation and power analysis. Emphasis is on experimental design and appropriate, efficient use of statistical software.
Permission is required.",1,1,1,1
BME547,Model-Based Analysis of Physiological Data,Graduate,1.0,NONE,NONE,NONE,"The analysis of common biochemical and physiological data by non-linear regression of data models and biophysical models of physiological and biochemical processes. Examples include binding kinetics, compartmental mass transfer and spectral analysis.
Permission is required.",1,1,1,1
BME548,Measurement and Analysis in Physiological Research,Graduate,1.0,NONE,NONE,NONE,"The acquisition and analysis of data-arising from common biochemical and physiological measurements. Topics include computer-based data acquisition and processing, densitometry, microscopy, and image analysis and processing. Emphasis is on experimental design and strategies for optimizing signal to noise ratio of measurements.",1,1,1,1
BME549,Experimental Techniques in Systems Physiology,Graduate,1.0,NONE,NONE,NONE,"A series of lectures and laboratory exercises designed to introduce students to invitro experimental techniques used in systems physiology. Emphasis will be placed on the ethical use of rodents in biomedical research and the measurement of physiological variables. Data acquisition and analysis procedures used in cardio-vascular, respiratory, neural and renal physiology will also be covered.
Permission is required.",1,1,1,1
