CourseNumber,CourseTitle,Career,Credits,Prerequisites,Antirequisites,Description,spring1,fall1,spring2,fall2
PSY325,Children's Cognitive Development,Undergraduate,3.0,"[['PSY220', 'PSY230', 'PSY240', 'PSY260', 'PSY310']]",NONE,"A survey of the basic principles of cognition from experimental research with children. Topics include perceptual development, language development, memory development, conceptual development, and the development of academic skills.",1,1,1,1
PSY326,Children's Social and Emotional Development,Undergraduate,3.0,"[['PSY220', 'PSY230', 'PSY240']]",NONE,"Current theories, models, research methods, and findings in the study of children's socioemotional development. The course emphasizes the interaction of the individual with his or her social environment in developmental processes and outcomes. Eras covered include infancy, toddler/preschool, mid-late childhood, and adolescence.",1,1,1,1
PSY327,Human Growth and Development in the Educational Context,Undergraduate,3.0,NONE,NONE,"The biological and psychological development of childhood and adolescence that affects teaching and curriculum development for diverse learners. Additional topics include childhood and adolescent psychiatric disorders, special education programs, drug and alcohol use and abuse, and societal issues. Formerly SSE 327 and SSI 327. Not for credit in addition to SSE 327 or SSI 327.",1,1,1,1
PSY329,Special Topics in Developmental Psychology,Undergraduate,3.0,"[['PSY220', 'PSY230', 'PSY240', 'PSY310']]",NONE,May be repeated as the topic changes.,1,1,1,1
PSY333,Mood Disorders,Undergraduate,3.0,[['PSY230']],NONE,"The mood disorders include bipolar (manic-depressive) and depressive disorders.  They are among the most common psychological disorders, and are a tremendous personal, social, and economic burden.  This course will provide an introduction to current theory and research on the mood disorders, including their classification, epidemiology, course, etiology, pathogenesis, and treatment. Not for credit in addition to PSY 339 with topic of ""Mood Disorders.""",1,1,1,1
PSY334,Autism Spectrum Disorders,Undergraduate,3.0,"[['PSY230', 'PSY220']]",NONE,"This course will provide information on history and current research into the causes (etiology), types (nosology), characteristics (symptomatology), prevalence, and treatment of autism spectrum disorders (ASDs). Topics to be dealt with include: etiology, assessment, family roles, social development, cognitive development, sensory and motor development, comorbidities, long-term outcomes, public policy legal issues, and future directions for research and practice.",1,1,1,1
PSY338,Abnormal Child Psychology,Undergraduate,3.0,"[['PSY220', 'PSY230', 'PSY240', 'PSY310']]",NONE,Development and modification of behavioral deviations in children; application of principles derived from experimental analysis of behavior to problems of children.,1,1,1,1
PSY339,Special Topics in Clinical Psychology,Undergraduate,3.0,"[['PSY220', 'PSY230', 'PSY240', 'PSY310']]",NONE,May be repeated as the topic changes.,1,1,1,1
PSY341,Psychology of Prejudice,Undergraduate,3.0,"[['PSY220', 'PSY230', 'PSY240', 'PSY250', 'PSY260', 'PSY310']]",NONE,"An overview of theoretical perspectives, research methods, empirical findings, and practical applications of psychological research on prejudice. Topics include the development of prejudice among children; the role of cognitive, social, personality, and motivational factors in maintaining prejudice and stigma; the psychological consequences of prejudice and stigma; and strategies for reducing prejudice, stigma, and intergroup conflict.",1,1,1,1
PSY342,Psychology of Women's Health,Undergraduate,3.0,"[['PSY220', 'PSY230', 'PSY240', 'PSY310']]",NONE,"An investigation of psychological aspects of women's health and gender differences in health through readings, lectures, films, guest speakers and presentations, class discussions, a writing assignment, and other educational activities.",1,1,1,1
PSY345,Theories of Personality,Undergraduate,3.0,"[['PSY220', 'PSY230', 'PSY240', 'PSY310']]",NONE,"The study of the ways in which people differ. Examines traditional and current thinking and research about the nature and causes of the individual patterns of behavior, emotion, and thinking that we call personality.",1,1,1,1
PSY346,Health Psychology,Undergraduate,3.0,"[['PSY103', 'PSY310']]",NONE,"The role of psychological factors in the maintenance of good health or in coping with illness. Topics include the modification of specific health behavior, such as alcoholism, obesity, lack of exercise, and smoking; the relationship of stress and illness; and coping with terminal illnesses.",1,1,1,1
PSY347,Psychology of Women,Undergraduate,3.0,"[['WST102', 'WST103', 'PSY103', 'SOC247']]",NONE,"The psychological impact of important physiological and sociological events and epochs in the lives of women; menstruation, female sexuality, marriage, childbirth, and menopause; women and mental health, mental illness and psychotherapy; the role of women in the field of psychology. This course is offered as both PSY 347 and  WST 377.",1,1,1,1
PSY348,Special Topics in Social Psychology,Undergraduate,3.0,"[['PSY220', 'PSY230', 'PSY240']]",NONE,May be repeated as the topic changes.,1,1,1,1
PSY349,Special Topics in Social Psychology,Undergraduate,3.0,"[['PSY220', 'PSY230', 'PSY240']]",NONE,May be repeated as the topic changes.,1,1,1,1
PSY354,Neurobiology of Learning and Memory,Undergraduate,3.0,"[['PSY250', 'BIO202', 'BIO203', 'BIO208']]",NONE,"Our ability to be shaped by our experiences and our sense of personal identity require that our brain encode and store information as one of its fundamental functions. In this course we will look in detail at how neurons and neural circuits respond and change when an organism learns something new or recalls something learned in the past. The focus will be on integrating current work in basic cellular and molecular neurobiology with the experimental psychology of learning and memory. Not for credit in addition to PSY 358 with topic of ""Learning and Memory.""",1,1,1,1
PSY355,Human Brain Function,Undergraduate,3.0,"[['PSY250', 'BIO208', 'BIO338', 'PSY310']]",NONE,"The functional organization of the human brain, including dysfunctions resulting from various types of brain pathology. Neuroanatomical, neuropsychological, neurophysiological, and experimental psychological approaches are described.",1,1,1,1
PSY356,Physiological Psychology,Undergraduate,3.0,"[['PSY250', 'BIO202', 'BIO203', 'BIO208']]",NONE,"An advanced survey of the neurobiological bases of complex behavior. A review of basic neurophysiology, neuroanatomy, and neurochemistry is followed by considerations of the circuitry and neural processing supporting perception, motion, emotion, sleep, attention, learning, language, and higher cognitive mechanisms.",1,1,1,1
PSY357,Animal Learning,Undergraduate,3.0,"[['PSY250', 'PSY260', 'PSY310']]",NONE,Principles of adaptation and behavioral change with emphasis on techniques of reward and punishment and of stimulus control.,1,1,1,1
PSY358,Special Topics in Biopsychology,Undergraduate,3.0,"[['PSY250', 'BIO202', 'BIO203', 'BIO208']]",NONE,May be repeated as the topic changes.,1,1,1,1
PSY359,Special Topics in Biopsychology,Undergraduate,3.0,"[['PSY250', 'BIO202', 'BIO203', 'BIO208']]",NONE,May be repeated as the topic changes.,1,1,1,1
PSY364,Judgment and Decision Making,Undergraduate,3.0,"[['PSY250', 'PSY260', 'PSY310']]",NONE,"An exploration of the psychological factors that influence judgment and decision making. Topics include how judgments and decisions ought to be made (e.g., rational decision making), systematic flaws in people's  actual performance, and the neural systems that underlie decisions.",1,1,1,1
PSY365,The Psychology of Language,Undergraduate,3.0,"[['PSY250', 'PSY260', 'PSY310']]",NONE,"Examination of theories and research concerning the processes and representations that underlie language comprehension, production, and acquisition.",1,1,1,1
PSY366,Human Problem Solving,Undergraduate,3.0,"[['PSY250', 'PSY260', 'PSY310']]",NONE,"An exploration of human problem solving and critical thinking. Topics include memory strategies, the role of language in thinking, inductive and deductive reasoning, creativity, and the development of problem solving skills.",1,1,1,1
PSY367,Memory,Undergraduate,3.0,"[['PSY250', 'PSY260', 'PSY310']]",NONE,A review of classic and current theories of memory and empirical research on memory in memory-intact and memory-impaired populations.,1,1,1,1
PSY368,Sensation and Perception,Undergraduate,3.0,"[['PSY250', 'PSY260', 'PSY310']]",NONE,"An examination of both the basic mechanisms and the organizational processes of visual and auditory perception. Topics include the perception of color, depth, movement, pitch, loudness, speech, and music.",1,1,1,1
PSY369,Special Topics in Cognition and Perception,Undergraduate,3.0,"[['PSY250', 'PSY260', 'PSY310']]",NONE,May be repeated as the topic changes.,1,1,1,1
PSY375,History and Systems of Psychology,Undergraduate,3.0,"[['PSY220', 'PSY230', 'PSY240', 'PSY250', 'PSY260']]",NONE,"History of psychology presented either as a development and testing of theories that emerge from a long philosophical tradition, or as a set of practices that serve particular social functions and respond to pressures from the socioeconomic context.",1,1,1,1
PSY380,Research Lab: Human Cognition,Undergraduate,4.0,"[['PSY103', 'PSY201']]",NONE,"Techniques and experimental methods to conduct research in cognition on a selection of topics such as perception and sensation, language, attention, or memory.  Hands-on learning of research and reporting of research. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.",1,1,1,1
PSY382,Research Lab: Social Psychology,Undergraduate,4.0,"[['PSY103', 'PSY201', 'PSY240']]",NONE,"Techniques and experimental problems in social psychology, including natural observation, surveys, and experimental design. Three hours of lecture and two hours of field or laboratory research per week. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.",1,1,1,1
PSY386,Research Lab: Cultural Psychology,Undergraduate,4.0,[['PSY310']],NONE,"Research methods in cultural psychology, including natural observation, surveys, and experimental design. Three hours of lecture and two hours of field or laboratory research per week.",1,1,1,1
PSY389,Research Lab: Special Topics,Undergraduate,4.0,[['PSY310']],NONE,"Research methods in varying topics in psychological research including natural observation, surveys, and experimental design. Three hours of lecture and two hours of field or laboratory research per week. May be repeated for credit as the topic changes. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.",1,1,1,1
PSY444,Experiential Learning,Undergraduate,0.0,[['WRT102']],NONE,"This course is designed for students who engage in a substantial, structured experiential learning activity in conjunction with another class. Experiential learning occurs when knowledge acquired through formal learning and past experience are applied to a ""real-world"" setting or problem to create new knowledge through a process of reflection, critical analysis, feedback and synthesis. Beyond-the-classroom experiences that support experiential learning may include: service learning, mentored research, field work, or an internship.",1,1,1,1
PSY447,Readings in Psychology,Undergraduate,1.00 - 6.00,NONE,NONE,Directed readings under the guidance of a faculty member. May be repeated once.,1,1,1,1
PSY459,Write Effectively in Psychology,Undergraduate,0.0,[['WRT102']],NONE,"A zero credit course that may be taken in conjunction with any 300- or 400-level PSY course, with permission of the instructor. The course provides opportunity to practice the skills and techniques of effective academic writing and satisfies the learning outcomes of the Stony Brook Curriculum's WRTD learning objective.",1,1,1,1
PSY475,Undergraduate Teaching Practicum I,Undergraduate,3.0,NONE,NONE,"Work with a faculty member as an assistant in one of the faculty member's regularly scheduled classes.  The student is required to attend all the classes, do all the regularly assigned work, and meet with the faculty member at regularly assigned times to discuss the intellectual and pedagogical matters relating to the course.",1,1,1,1
PSY476,Undergraduate Teaching Practicum II,Undergraduate,3.0,NONE,NONE,Work with a faculty member as an assistant in one of the faculty member's regularly scheduled classes.  Students assume greater responsibility in such areas as leading discussions and analyzing results of tests that have already been graded. Students may not serve as teaching assistants in the same course twice.,1,1,1,1
PSY487,Independent Research in Psychology,Undergraduate,0.00 - 6.00,[['PSY273']],NONE,Upper-division students interested in carrying out independent research projects under the auspices of a faculty member in the Department of Psychology may do so in this course. The student must propose and carry out the research project and must analyze and write up the results in a form acceptable to the sponsor. Written agreement by the faculty sponsor to undertake this responsibility and an outline of the project goals are filed with the Undergraduate Psychology Office. These become part of the student's departmental file. May be repeated up to a limit of 12 credits.,1,1,1,1
PSY488,Internship,Undergraduate,0.00 - 6.00,NONE,NONE,Participation in public and private agencies and organizations. Students are required to submit written progress reports and a final written report on their experience to the faculty sponsor and department. May be repeated up to a limit of 12 credits.,1,1,1,1
PSY491,Advanced Seminar in Psychology,Undergraduate,1.00 - 3.00,[['PSY310']],NONE,Special seminars covering current research theory.  Topics are announced prior to the beginning of each semester. May be repeated up to a limit of 18 credits. Students may take two sections in a single semester. May not be taken for more than six credits per faculty member during the student's career.,1,1,1,1
PSY492,Advanced Seminar in Psychology,Undergraduate,1.00 - 3.00,[['PSY310']],NONE,Special seminars covering current research theory.  Topics are announced prior to the beginning of each semester. May be repeated up to a limit of 18 credits. Students may take two sections in a single semester. May not be taken for more than six credits per faculty member during the student's career.,1,1,1,1
PSY495,Senior Honors Seminar,Undergraduate,1.0,[['PSY487']],NONE,First course of a two-semester directed-research activity employing methods and theories of psychological research. Students are expected to design and execute a research project and submit a thesis under the supervision of appropriate faculty sponsorship. Students enrolled in PSY 495 are obliged to complete PSY 496. Students receive only one grade upon completion of the sequence.,1,1,1,1
PSY496,Senior Honors Seminar,Undergraduate,1.0,"[['PSY495'], ['PSY487']]",NONE,Second course of a two-semester directed-research activity employing methods and theories of psychological research. Students are expected to design and execute a research project and submit a thesis under the supervision of appropriate faculty sponsorship. Students enrolled in PSY 495 are obliged to complete PSY 496. Students receive only one grade upon completion of the sequence.,1,1,1,1
PSY501,Analysis of Variance and Experimental Design,Graduate,3.0,[['PSY508']],NONE,"The design and analysis of factorial experiments having a single dependent variable. Topics include between- and within-subjects designs, mixed-factor designs, interactions, trend analysis, and planned comparisons. Emphasis on applications in psychological research. Required of all Ph.D. students in psychology.
Prerequisite: Undergraduate statistics, Co-requisite: PSY 508
Fall, 3 credits, ABCDF grading",1,1,1,1
PSY502,Correlation and Regression,Graduate,3.0,NONE,NONE,"Correlation, regression, multiple correlation, multiple regression, partial correlation, and introductions to some of the following topics: factor analysis, mediational analysis, structural equation modeling, relation of regression to analysis of variance, analysis of covariance, discriminant function analysis, and multivariate analysis of variance. Required of all Ph.D. students in psychology. Spring
Co-requisite: PSY 508",1,1,1,1
PSY504,First Year Seminar,Graduate,0.00 - 3.00,NONE,NONE,"This course includes discussion of current research and research practices by faculty and visiting speakers. This course is required of all first-year Ph.D. students and Masters students.

0-3 credits, S/U grading

May be repeated for credit.",1,1,1,1
PSY505,Structural Equation Modeling and Advanced Multivariate Methods,Graduate,3.0,NONE,NONE,"Thorough coverage of structural equation modeling and brief coverage of other specialized techniques used in data analysis in psychology, such as multi-level modeling and cluster analysis (topics for brief coverage vary from year to year).  The course emphasizes hands-on work with real data sets, using standard statistical software packages.
Spring,",1,1,1,1
PSY506,Psychometric Methods,Graduate,3.0,NONE,NONE,"This course surveys traditional and evolving views on item design, reliability, and validity, reviews statistical methods related to test construction, and applies this material to the design and evaluation of observational, rating, and self-report methods in domains of interest to psychologists.  The course also examines the impact of test characteristics on data analysis and the role of test design in theory construction.
Fall or Spring, alternate years, 3 credits, ABCDF grading.",1,1,1,1
PSY507,Meta-Analysis,Graduate,3.0,NONE,NONE,"This course is an introduction to research synthesis and the use of meta-analytic techniques. The content is intended to be a thorough yet practical coverage of basic principles, with an emphasis on leading students through the steps of conducting their own meta-analytic project. A basic knowledge of statistics commonly used in the social and behavioral sciences is essential. Class meetings will involve both didactic instruction and discussion of readings and homework assignments.",1,1,1,1
PSY508,Introduction to Computer Applications in Statistics,Graduate,0.00 - 1.00,[['PSY501']],NONE,"Computer protocol and introduction to statistical packages and necessary utility programs. Fall and Spring
Prerequisite: Corequisite: PSY 501 or 502",1,1,1,1
PSY510,History of Psychology,Graduate,3.0,NONE,NONE,"Intensive reading in the history of psychology from original sources. Emphasis is on class discussion and relation to modern problems.  Fall or Spring, alternate years",1,1,1,1
PSY511,Learning,Graduate,3.0,NONE,NONE,"A consideration of the basic principles of learning. Analysis of the leading theories of learning as well as areas of controversy and dispute. Fall or Spring, alternate years",1,1,1,1
PSY513,Theories of Attention,Graduate,3.0,NONE,NONE,"This course covers some of the major theoretical perspectives that have shaped the attention literature, staring with historical distinctions of early versus late selection and ending with more contemporary mathematical, neurophysiological, and neuorcomputational theories.  Specific questions will include: ""What is attention?"" (is it a unitary thing or a grab-bag of assorted processes), ""How does it work,"" and ""What paradigms have researchers used to study attention?"" (dichotic listening, priming, search, etc.).
Fall or Spring, alternate years, 3 credits, ABCDF grading",1,1,1,1
PSY514,Sensation and Perception,Graduate,3.0,NONE,NONE,"This course covers the sensory mechanisms that change physical stimuli (e.g., a picture of your friend) into neural information, the major brain areas involved in processing this sensory information for various perceptual abilities (eg., motion perception, color perception, object perception, etc.), and the different theoretical approaches to analyzing a given perceptual phenomenon.
Fall or Spring, alternate years, 3 credits, ABCDF grading",1,1,1,1
PSY516,Judgment and Decision Making,Graduate,3.0,NONE,NONE,"This course provides an overview of empirical and theoretical work on
judgment and decision making.  Topics include what decision making is,
how decisions ought to be made, the systematic flaws observed in
actual decision behavior, the uniquely psychological factors that
influence decision-making (e.g., emotion), and the neural systems that
underlie the decisions of both humans and non-human animals.
Fall or Spring, Alternating years",1,1,1,1
PSY518,Memory,Graduate,3.0,NONE,NONE,"Review of theory and phenomena related to human memory. Topics include representation of schemas and categories, encoding, forgetting, implicit learning, and memory for procedures. Several recent models of long-term memory representation are discussed and compared.  Fall or Spring, alternate years",1,1,1,1
PSY520,Psycholinguistics,Graduate,3.0,NONE,NONE,"The psychology of language, including the mental lexicon, sentence processing, pragmatics, discourse, production and comprehension of utterances in conversation, language and thought, first-language acquisition, and computational approaches.  Fall or Spring, alternate years",1,1,1,1
PSY524,Cognitive Development,Graduate,3.0,NONE,NONE,"This course presents the developmental perspective as applied to human cognition.  Topics include (1) characteristics and constraints on cognitive abilities in infancy, childhood, and adolescence, (2) mechanisms of developmental change, and (3) links between cognitive development and selected applied topics.
Fall or Spring, alternate years",1,1,1,1
PSY533,Principles Applicable to Clinical Psychology: Historical/systemic perspectives,Graduate,3.0,NONE,NONE,"A critical review of how principles of general psychology apply to clinical psychology. The course material will be discussed within the context of the history of ideas and major systems of thought as they relate to conceptualization, assessment, and intervention.
Prerequisite: Psychology doctoral student.
Fall or Spring, alternate years , 3 credits, ABCF grading",1,1,1,1
PSY534,"Assessment: General Principles, Clinical Interviews, and Adult Psychotherapy",Graduate,2.0,NONE,NONE,"General principles of assessment; clinical interviewing; structured interviews for assessing axis-I and axis-II psychopathology; ethics and cultural diversity. Prerequisite: Clinical psychology doctoral student
Fall, 2 credits, ABCF grading",1,1,1,1
PSY535,Advanced Research Methods,Graduate,3.0,NONE,NONE,"Advanced research methods employed in clinical, personality, social, and behavioral research. Fall or Spring
Prerequisite: PSY 501, 502, and clinical doctoral student",1,1,1,1
PSY537,Methods of Intervention: Treatment of Internalizing Disorders,Graduate,3.0,NONE,NONE,"This course covers the theory and research associated with the treatment of internalizing disorders of adults, adolescents, and children.  Among the topics covered are the treatment of phobias, school refusual, panic disorder, general anxiety disorder, social anxiety, post-traumatic stress disorder, complicated grief, obsessive compulsive disorder, and mood disorders.  In the treatment of each, particular emphasis is placed on how therapy needs to be modified depending on whether one is working with a child, adolescent or adult.
Fall, 3 credits, ABCF grading",1,1,1,1
PSY538,Method of Intervention: Treatment of Externalizing Disorders and Relationship Problems,Graduate,3.0,NONE,NONE,"This course focuses on the treatment of externalizing disorders of adults and children as well as intimate partner problems like relationship discord and partner abuse. A developmental focus is taken as exemplified by coverage of child externalizing problems such as Oppositional Defiant Disorder, Conduct Disorder, and Attention Deficit Disorder, Borderline Personality Disorder and Partner Abuse. Treatments of alcohol abuse and eating disorders in both teens and adults are presented. Finally, treatment of schizophrenia is addressed along with coverage of the course of schizophrenia across the lifespan. Individual, couple, and family treatments are reviewed.
Spring, 3 credits, ABCF grading
Prerequisite: Must be Psychology Graduate Student",1,1,1,1
PSY541,Social Psychology of Close Relationships,Graduate,3.0,NONE,NONE,"High level overview of current theory and research on the social psychology of close relationships.
Fall or Spring, alternate years, 3 credits, ABCF grading",1,1,1,1
PSY542,Psychology of Addictive Behaviors,Graduate,3.0,NONE,NONE,"Study of psychological, behavioral and biological theories of addiction.
Fall or Spring, alternate years, 3 credits, ABCF grading",1,1,1,1
PSY543,Attachment,Graduate,3.0,NONE,NONE,"This course examines current psychological theories of infant-parent and child parent relationships and adult-adult attachment with special attention to assessment methods, clinical applications and controversy regarding the importance of early experience.
Fall or Spring, alternate years, 3 credits, ABCF grading",1,1,1,1
PSY544,Emotion & Cognition,Graduate,3.0,NONE,NONE,"This course focuses on fundamental questions  regarding the interaction between emotion and cognition, and how such this interaction can be measured.  Key topics will include: differentiating emotions from other affective states, understanding the functions of discrete emotions, the role of the consciousness in emotional experience, and whether emotions can be controlled ; additionally, the course will address emotion-cognition interactions in the domains of memory, attention, perception and reasoning/decision-making.  We will also address developmental changes and cross-cultural differences in emotion and cognition.  The goal of the course is to be able to develop a translational research proposal rooted in basic research on emotion and cognition.
Fall or Spring, alternate years, 3 credits, ABCF grading",1,1,1,1
PSY545,Psychopathology: Conceptual models and internalizing disorders,Graduate,2.0,NONE,NONE,"Theory and research on abnormal behavior in children, adolescents, and adults. A lifespan development approach is taken, with a focus on classification, conceptualizations and models of psychological disorders, and the phenomenology, epidemiology, course, etiology, pathogenesis, psychopathology, and pathophysiology of internalizing disorders such as mood and anxiety disorders.
Fall, 2 credits, ABCF grading",1,1,1,1
PSY546,Measurement and Scaling,Graduate,3.0,NONE,NONE,"An historical introduction to the measurement of psychological variables and survey of contemporary scaling methods with an emphasis on psychophysical scaling and experimental applications.  Fall or Spring, alternate years",1,1,1,1
PSY549,Prejudice and Discrimination,Graduate,3.0,NONE,NONE,"This course will provide an overview of theoretical perspectives, research methods, empirical findings, and practical applications of psychological research on prejudice, stigma, and intergroup relations.  Critical thinking about theorizing and research in this area will be emphasized during class discussions and through a course project.  Students are admitted with permission by instructor.
Fall or Spring, alternate years, 3 credits, ABCF grading",1,1,1,1
PSY552,Social and Personality Development,Graduate,3.0,NONE,NONE,"A survey of milestones and processes of social development in infancy and childhood. Relevance to understanding adult personality and social relationships is emphasized.  Fall or Spring, alternate years",1,1,1,1
PSY555,Social Psychology,Graduate,3.0,NONE,NONE,"An introduction to social psychology, a field of study examining how people feel about, think about, and influence others.  Topics include attitudes, motivation, social judgements, and interpersonal behaviors.  Coursework focuses on identifying basic principles that transcend particular content domains.
Fall or Spring, alternate years,",1,1,1,1
PSY556,Stress and Coping,Graduate,3.0,NONE,NONE,"In this course, we examine current issues, challenges, and questions in two related areas of psychology: stress and coping. We will cover classical approaches in addition to recent empirical research and theoretical development. Students are not expected to have prior familiarity with the topic areas. We will begin by reviewing definitions and major theoretical orientations. In subsequent weeks we will concentrate on issues relevant to stress, coping, and related topics such as social support, across a broad range of circumstances, rather than focusing on specific stressful contexts such as chronic illness or bereavement. For example, we will examine ways to define successful and maladaptive coping. We will also consider whether social support is better conceptualized as a commodity or as an individual perception. We will compare contradictory evidence about the benefits of perceived control, and we will discuss problems of generalizing research findings to different ethnic, cultural, and other groups.
Offered: Fall, Spring alternate years, 3 credits ABCF grading",1,1,1,1
PSY558,Theories of Social Psychology: Health Applications,Graduate,3.0,NONE,NONE,"This course provides an overview of the ways in which social psychological theories and perspectives can be used to understand thoughts and behavior relevant to health and illness. It covers social influence, social comparison, pluralistic ignorance, social support, cognitive dissonance, message framing, and fear communication. The course also covers links between personality characteristics and health and how broader social and cultural environment affects health and illness.
Fall or Spring, alternate years, 3 credits, ABCF grading",1,1,1,1
PSY559,Psychology of Women's Health,Graduate,3.0,NONE,NONE,"This course covers a variety of psychologically-important topics in women's health based on current research findings. We address psychological contributors to and consequences of women's health and illness, focusing on diseases that affect women differently or disproportionately than men (including coronary heart disease, cancer, AIDS, and autoimmune diseases), women's reproductive health (including menstruation, contraception, pregnancy, infertility, and menopause), health behaviors (including substance abuse, exercise, and eating), and other topics such as violence against women, women's mental health, and women as health care providers and health researchers.
Co-scheduled with WST 559.
Fall or Spring, altenrate years, 3 credits, ABCF grading",1,1,1,1
PSY560,Human Brain Function,Graduate,3.0,NONE,NONE,"Cognitive neuroscience is an interdisciplinary field, at the interface of systems neuroscience, computational neuroscience, and cognitive psychology.  In this course, we examine the current theories and empirical research findings on the neural basis of cognition.  We will cover anatomical, neurophysiological and pharmacological correlates of behavioral functions such as perception, attention, motivation, learning, memory, cognitive control, and communication.  We will evaluate the strengths and weaknesses of various approaches used to student the neural substrates of higher-order cognition.",1,1,1,1
PSY561,Cognitive and Behavioral Neuroscience I,Graduate,3.0,NONE,NONE,"This course introduces students to neural elements responsible for processing information supporting sensation, perception, cognition and movement. Starting with the philosophy of the mind and the history of neuroscience, the course proceeds with an introduction of cells, neural signaling, transmitters and receptors. How these elemental units are integrated to support emergent properties, usch as object recognition, is illustrated. Coversely, examples of complex behavioral impairments resulting from dysfunction in elemental units illustrated. The course proceed to cover neral metabolism, and its relation to disorders of memory and motor dysfunction. Last, stress and its role in neuropsychological disorders is discussed.
Spring, 3 credits, ABCF grading",1,1,1,1
PSY562,Cognitive and Behavioral Neuroscience II,Graduate,3.0,NONE,NONE,"Cognitive and Behavioral Neuroscience illustrates how cellular circuits support function. Classic experiments demonstrating function fro the use of electrophysiological data, lesions and transmitter manipulations are discussed. Students interested in understanding how individual neurons and neural circuits and integrated regional systems directly support specific behaviors will find this course of interest. A textbook is used for the readings.
Fall, 3 credits, ABCF grading",1,1,1,1
PSY563,Neuropsychological Assessment,Graduate,3.0,NONE,NONE,"Classroom discussions of issues in neuropsychological assessment and design of assessment batteries are combined with practical experience in the assessment of clinical populations.  Each student is assigned to a supervisor to learn assessment techniques for research and/or clinical practice.  Fall or Spring, alternate years",1,1,1,1
PSY564,Neuropsychopharmacology,Graduate,3.0,NONE,NONE,"This course covers the mechanisms of transmitters and related drug action in the nervous system. In addition to exploring transmitter/receptor relationships, the course covers the sequence of events initiated by this action. Through understanding of these processes, the course then links drug action to nervous system outcomes such as movement, cognition, pain and mood.
Spring, alternate years, 3 credits, ABCF grading",1,1,1,1
