CourseNumber,CourseTitle,Career,Credits,Prerequisites,Antirequisites,Description,spring1,fall1,spring2,fall2
GEO320,Glacial Geology,Undergraduate,3.0,[['GEO102']],NONE,History of glaciation on earth; formation and dynamics of glaciers and ice sheets; processes of glacial erosion and deposition; and the nature of glacial sediments and landforms particularly relating to the development of Long Island.,1,1,1,1
GEO330,The Geology of Mars,Undergraduate,3.0,"[['GEO102', 'GEO122', 'GEO106']]",NONE,"Overview of Mars as a planetary system. Evolution of the planet and its atmosphere through time. Detailed discussion of processes that have shaped the martian surface, including erosion, sedimentation, volcanism, impact cratering, physical and chemical weathering. Comparison of geologic processes on Mars and Earth. Discussion of past and future spacecraft missions to Mars.",1,1,1,1
GEO347,Remote Sensing,Undergraduate,3.0,"[['GEO102', 'GEO106', 'GEO122']]",NONE,"An introduction to the fundamental principles of remote sensing, with emphasis on geological and environmental applications.  Discussion of the physical basis for remote sensing techniques.  Survey of commonly used sensors and image analysis methods in earth sciences. Participants gain practical experience in geologic and environmental analysis using satellite imagery.",1,1,1,1
GEO366,Mineralogy Laboratory,Undergraduate,1.0,[['GEO306']],NONE,"Three hours of laboratory per week that corresponds to the content of GEO 306. Laboratory exercises involve work with crystallographic models, mineral samples, refraction oils and the polarizing light microscope. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.",1,1,1,1
GEO369,Structural Geology Laboratory,Undergraduate,1.0,[['GEO309']],NONE,Three hours of laboratory per week that corresponds to the content of GEO 309. Laboratory exercises cover map interpretation and algebraic and graphical solutions of structural problems. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.,1,1,1,1
GEO403,Sedimentation and Stratigraphy,Undergraduate,3.0,"[['GEO103'], ['GEO113'], ['GEO306', 'GEO366', 'GEO463']]",NONE,"The history and practice of defining units of layered rocks and interpreting their spatial relationships. Topics include the basis for the geologic time scale, lithostratigraphic versus chronostratigraphic units, biostratigraphy, magnetostratigraphy, facies patterns and Walther's Law, subsurface stratigraphy, and the application of stratigraphy to geological problems. The laboratory component, GEO 463, must be taken concurrently; a common grade for both courses will be assigned.",1,1,1,1
GEO404,Geomorphology,Undergraduate,3.0,"[['GEO102', 'GEO122']]",NONE,"An introduction to the study of landforms and the processes that produce and modify them. This active learning class meets for two, three-hour periods each week consisting of recitations, discussions, and exercises. A significant portion of the exercises will relate to Long Island geomorphology. Computers will be used extensively in class.",1,1,1,1
GEO405,Field Camp,Undergraduate,1.00 - 6.00,NONE,NONE,A field course that may be taken at any one of several approved university field stations.,1,1,1,1
GEO407,Igneous and Metamorphic Petrology,Undergraduate,3.0,"[['MAT125', 'MAT131', 'AMS151'], ['GEO306', 'GEO366', 'GEO467']]",NONE,"Topics focus on the processes that govern the formation and distribution of igneous and metamorphic rocks and their link to the Earth's mantle, crust, and tectonic regimes. Emphasis will be placed on integrating assessment of the chemical control on compositional diversity through phase diagrams with the study of natural rock suites through hand sample and thin section analysis. Three hours of lecture per week. The laboratory component, GEO 467, must be taken concurrently; a common grade for both courses will be assigned.",1,1,1,1
GEO444,Experiential Learning,Undergraduate,0.0,[['WRT102']],NONE,"This course is designed for students who engage in a substantial, structured experiential learning activity in conjunction with another class. Experiential learning occurs when knowledge acquired through formal learning and past experience are applied to a ""real-world"" setting or problem to create new knowledge through a process of reflection, critical analysis, feedback and synthesis. Beyond-the-classroom experiences that support experiential learning may include: service learning, mentored research, field work, or an internship.",1,1,1,1
GEO447,Senior Tutorial in Geology,Undergraduate,1.00 - 3.00,NONE,NONE,Independent readings in advanced topics. May be repeated once.,1,1,1,1
GEO448,Geosciences Colloquium,Undergraduate,1.0,NONE,NONE,"Every semester, the Department of Geosciences hosts a colloquium series. The series features weekly lectures covering a wide variety of geosciences research topics. The purpose of this course is to expose upper division geoscience students to current research being performed at Stony Brook University and elsewhere. May be repeated up to a limit of 3 credits.",1,1,1,1
GEO463,Sedimentation and Stratigraphy Laboratory,Undergraduate,1.0,[['GEO403']],NONE,Three hours of laboratory per week that corresponds to the content of GEO 403. The course emphasizes practical techniques in stratigraphy. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.,1,1,1,1
GEO467,Igneous and Metamorphic Petrology Laboratory,Undergraduate,1.0,[['GEO407']],NONE,Three hours of laboratory per week that corresponds to the content of GEO 407. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.,1,1,1,1
GEO475,Undergraduate Teaching Practicum I,Undergraduate,3.0,NONE,NONE,"Work with a faculty member as an assistant in one of the faculty member's regularly scheduled classes.  The student is required to attend all the classes, do all the regularly assigned work, and meet with the faculty member at regularly scheduled times to discuss the intellectual and pedagogical matters relating to the course.",1,1,1,1
GEO476,Undergraduate Teaching Practicum II,Undergraduate,3.0,[['GEO475']],NONE,Work with a faculty member as an assistant in one of the faculty member's regularly scheduled classes.  Students assume greater responsibility in such areas as leading discussions and analyzing results of tests that have already been graded. Students mya not serve as teaching assistants in the same course twice.,1,1,1,1
GEO487,Senior Research in Geology,Undergraduate,0.00 - 6.00,NONE,NONE,"Under the supervision of a faculty member, a major in the department may conduct research for academic credit.",1,1,1,1
GEO488,Internship,Undergraduate,0.00 - 6.00,NONE,NONE,"Participation in local, state, or national private enterprises, public agencies, or nonprofit institutions. May be repeated to a limit of 6 credits.",1,1,1,1
GEO496,Research and Synthesize Scientific Literature in Geoscience,Undergraduate,1.0,"[['GEO102', 'GEO122']]",NONE,"An introduction to writing a scientific literature review in the field of geosciences. Students will gain experience using scientific journal article databases, selecting relevant research articles from the peer-reviewed literature, and summarizing information effectively in written form. This course is to be taken in conjunction with any 300- or 400-level GEO course. Successful completion of this course satisfies the SBC categories WRTD and ESI.",1,1,1,1
GEO497,Research Communication in Geoscience,Undergraduate,1.0,"[['GEO102', 'GEO112'], ['GEO122']]",NONE,An introduction to ethics in scientific research and research communication in Geoscience. Topics from the NIH Ethics training course will be discussed with a focus on the student's current and future research and the ethical aspects of scientific communication. Discussions of clarity in scientific communication as a means of effecting ethical dissemination of scientific results will involve exposure to best practices in oral and written presentation.  Students will give oral presentations of their written work (based on the co-requisite course GEO 496) and be involved in peer assessment of presentations. Successful completion of this course satisfies the SBC categories CER and SPK.,1,1,1,1
GEO500,Geosciences Research Seminar,Graduate,0.0,NONE,NONE,"Meetings in which first-year graduate students and undergraduates with senior standing learn about the research activities of the Geosciences faculty.
Fall,",1,1,1,1
GEO502,GIS for Geologists,Graduate,1.0,NONE,NONE,"A practical introduction to geographic information system software.  Participants learn to use direct measurement and mathematical techniques to compute the location of features and gain practical experience in rendering imagery and tabular geographic data as layers on maps. The course consists of two three-hour sessions per week for the first five weeks of semester, which include fieldwork, lectures, demonstrations and software-based analysis of data. 
This course meets with GEO 588 (Geological Field Methods for Earth Science Teachers) for the first five weeks of the semester.  Students may not take GEO 502 and GEO 588 for credit.
Fall, every year, 1 credit, ABCF grading",1,1,1,1
GEO503,Mineral Equilibria,Graduate,3.0,NONE,NONE,"Covers the basics of the application of the principles of chemical thermodynamics to the resolution of geochemical and petrological problems. Begins with the first law and continues through phase transitions, properties of fluids, definitions of fugacity and activity of major and trace elements in fluids and molten solutions; configurational entropies; models quantifying nonideal mixing in solid solutions. Additional topics include interpretation of calorimetric studies and/or solubilities of minerals in aqueous solutions.
Prerequisites: Physical chemistry and thermodynamics, or permission of instructor
Fall, alternate years,",1,1,1,1
GEO504,Geology of the Turkana Basin,Graduate,3.0,NONE,NONE,"Students are introduced to the current perspectives on the origins and evolution of the Turkana Basin, Kenya. Students learn how to apply fundamental geological concepts to the sediments and rock units to provide a foundation for the chronology and context for recorded events in human evolution. Emphasis is given to sedimentation, statigraphy, volcanism, and tectonics, as they apply to local geology, including training in field methods. Modern terrestrial processes and landscape evolution are examined using features present in the Turkana Basin. Consideration is also given to broader geologic events spanning the Oligocene to he present. Geologic concepts are linked to modern and ancient environments, archaeology, and paleoanthropology in northern Kenya. It is a field-based course involving visits to important geological and fossil sites. Graded work includes fieldwork and lab assignments, independent research assignments, quizzes and a final exam.
Semesters offered-Fall and Spring. Components- laboratory, lecture, and recitation.",1,1,1,1
GEO505,Experimental Petrology Laboratory,Graduate,1.0,NONE,NONE,"The course is designed to give the student experience in some or all of the following techniques of experimental petrology: evacuated silica-glass tube experiments, one-atmosphere quenching experiments (with and without controlled atmospheres), 1- to 5- kbar hydrothermal systems (using oxygen buffers where necessary), gas-media experiments up to 7 kbar, and solid-media, piston-cylinder experiments.
Requirements: Completion of a project involving several of the above techniques; written report
Prerequisite: Permission of instructor
Spring, alternate years,",1,1,1,1
GEO506,Theoretical Petrology,Graduate,3.0,NONE,NONE,"Theory of phase diagrams, Schreinemaker's rules, heterogeneous equilibria, experimental systems of petrologic interest, and properties of solutions.
Prerequisites: Metamorphic and igneous petrology and physical chemistry or thermodynamics; or permission of instructor
Spring,",1,1,1,1
GEO507,Petrogenesis,Graduate,3.0,[['GEO527']],NONE,"Discussion of the origin and evolutionary history of selected types of igneous and metamorphic rocks by integrating the principles of heterogeneous phase equilibria, trace-element and isotopic geochemistry, crystal chemistry, and geologic occurrence. The laboratory component, GEO 527, must be taken concurrently; a common grade for both courses will be assigned.
Fall",1,1,1,1
GEO508,The Rock-Forming Minerals,Graduate,3.0,NONE,NONE,"Study of the crystal chemistry, intracrystalline cation distribution (homogeneous equilibria) stability, and paragenesis of the rock-forming minerals. Special emphasis is placed on amphiboles, feldspars, micas, and pyroxenes.
Fall,",1,1,1,1
GEO510,Dimensions of Global Change,Graduate,3.0,NONE,NONE,"This course is designed to be an intense study in global climate change science.  The emphasis will be on modern climate change however, by studying the contributions of paleoclimatology we can gain insight into how the climate system operates.  To understand modern climate change and predictions, it is necessary to develop an understanding of natural climate forcing, natural variability and feedbacks in the climate systems.  Adding to natural variation are the impacts of anthropogenic forcing.  The course will examine the measured and predicted consequences of these anthropogenic forcing.
Offered Fall and Summer, 3 credits, ABCF Grading",1,1,1,1
GEO511,Computer Programming for the Geosciences,Graduate,3.0,NONE,NONE,"An introduction to object-oriented programming in Java for geoscience students. Participants are required to develop interactive programs to serve as educational or research tools pertaining to topics within the geosciences.  These programs, or applets, include a graphical user interface that enables users to control parameters and observe results.  The applets are posted on the World Wide Web.
Prerequisite: Geosciences graduate standing
Spring,",1,1,1,1
GEO512,Structure and Properties of Materials,Graduate,3.0,NONE,NONE,"An introductory course that will explore materials from the viewpoint of their structure and chemistry and how these affect applications.  Different states of matter (crystals, quasicrystals, glasses, liquids) will be discussed and their similarities and differences, focusing on the crystalline state.  Nanomaterials and their peculiarities in terms of structure and properties will also be considered.  Particular attention will be paid to (1) Materials for energy and environment applications, (2) materials for technological applications, and (3) Earth and planet-forming materials.
This course is co-scheduled with GEO312.
Prerequisite: CHE131 or PHY131",1,1,1,1
GEO513,GIS Fundamentals I,Graduate,3.0,NONE,NONE,"This course provides the basic concepts underlying modern geographic information science and technology.  Emphasis is placed on the principles of GIS for collecting, storing, characterizing, and maintaining data and computer-based techniques for processing and analyzing spatial data.  The course includes three hours of lecture, in class exercises and homework projects each week. This is a computer based class with the majority of students work involving GIS computer software.  Prerequisite: working knowledge of spreadsheet software",1,1,1,1
GEO514,Introduction to Physical Hydrogeology,Graduate,3.0,NONE,NONE,"Surface hydrology. Principles of groundwater flow. Well hydraulics. Geology of groundwater occurrence. Water quality and groundwater contamination. Hydrologic site evaluation.
Spring,",1,1,1,1
GEO515,Geohydrology,Graduate,3.0,NONE,NONE,"Dynamics of fluids in porous media. Fundamentals of physical hydrogeology. Quantitative analysis of regional groundwater system and well hydraulics. Introduction to numerical simulation techniques. Hydrodynamic dispersion and basic concepts of contaminant transport.
Spring,",1,1,1,1
GEO517,Crystal Chemistry,Graduate,3.0,NONE,NONE,"The structure/property/composition relationships in solids. An introduction to the common structure types and how they illustrate principles useful in understanding more complex solid-state materials. Applications of modern scattering techniques to the study of solids, particularly Earth materials, are also included.
Fall,",1,1,1,1
GEO518,Carbonate Sediments,Graduate,4.0,NONE,NONE,"An intensive study of the formation, deposition, lithification, and diagenesis of carbonate sediments. Lectures and seminars emphasize principles of carbonate deposition, facies relationships, and chemistry. Laboratories emphasize binocular and petrographic analysis of recent and ancient carbonates.
Spring, alternate years,",1,1,1,1
GEO519,Geochemistry of Natural Waters,Graduate,3.0,NONE,NONE,"A comprehensive quantitative treatment of the processes controlling the chemistry of polluted and unpolluted surface and groundwaters. Topics covered include thermodynamics and kinetics of water-rock interaction; mineral solubility; chemical speciation; redox reactions; adsorptions; carbonate chemistry; and speciation, mobility, and toxicity of metal ions. Based on a knowledge of these processes, the chemical composition of a wide variety of surface and groundwaters is interpreted. Water-quality criteria and their application are also discussed.
Spring,",1,1,1,1
GEO520,Glacial Geology,Graduate,3.0,NONE,NONE,"History of glaciation on earth, formation and dynamics of glaciers and ice sheets; processes of glacial erosion and deposition; and the nature of glacial sediments and landforms particularly relating to the development of Long Island. 
Prerequisite: Physical Geology
Spring,",1,1,1,1
GEO521,Isotope and Trace Element Geology,Graduate,3.0,NONE,NONE,"Application of radiogenic isotopes and trace elements to the petrogenesis of igneous, metamorphic, and sedimentary systems including water-rock interaction in diagenetic and hydrothermal systems.  Evaluation of radiogenetic techniques for determining the ages of rocks and minerals.
Spring, alternate years,",1,1,1,1
GEO522,Planetary Sciences,Graduate,3.0,NONE,NONE,"The chemical, physical, and petrologic properties of meteorites are reviewed. These data and data for the moon and the terrestrial planets are used to form a picture of the origin, chemical evolution, and accretion of planetary material. Fall,",1,1,1,1
GEO523,Geodatabase and Design,Graduate,3.0,NONE,NONE,"Concepts of geodatabase design and management in geographic information systems (GIS), SQL statements, geographic data types and functions, data entry, and techniques of geographic information structure applications. 
Prerequisite: GSS513 or equivalent",1,1,1,1
GEO524,Organic Contaminant Hydrology,Graduate,3.0,NONE,NONE,"There are a host of chemical, biological, and physical processes that affect the transport and fate of organic chemicals in natural waters. This course concerns understanding these processes and the structure-activity relationships available for predicting their rates. The major focus of this class is on contaminant hydrology of soil and aquifer environments, and includes the principles behind remediation and containment technologies. This course is offered as both MAR 524 and GEO 524.
Prerequisite: GEO 526 or MAR 503 or permission of instructor
Spring,",1,1,1,1
GEO525,GIS Fundamentals II,Graduate,3.0,[['GSS513']],NONE,"GIS Fundamentals II will introduce the applied use of Geographic Information Systems (GIS) which is now used extensively in analytical studies.  The course emphasizes the applications of GIS in solving real-world problems.  Students are expected to gain an understanding of GIS theory, methodology and most importantly application.  Students are also expected to demonstrate abilities of spatial thinking, spatial analysis, and be able to solve practical spatial problems utilizing a GIS. 
Prerequisite: GSS513 or equivalent",1,1,1,1
GEO526,Low-Temperature Geochemistry,Graduate,3.0,NONE,NONE,"Fundamental principles of chemical thermodynamics and kinetics, including isotope effects, as they pertain to geochemical processes occurring in surface and near-surface environments. Consideration is also given to mass transfer process and reaction pathways.
Fall,",1,1,1,1
GEO527,Petrogenesis Laboratory,Graduate,1.0,[['GEO507']],NONE,Three hours of laboratory per week that corresponds to the content of GEO 507,1,1,1,1
GEO528,Carbonate Geochemistry,Graduate,3.0,NONE,NONE,"Examination of the mineralogical and chemical characteristics of the rock-forming carbonates with emphasis on stabilities in the geological environments. Includes study of phase relations; trace and minor element chemistries; and mechanisms of growth, dissolution, and replacement. Use of current research techniques as applied to carbonate minerals.
Fall, alternate years,",1,1,1,1
GEO530,The Geology of Mars,Graduate,3.0,NONE,NONE,"Overview of Mars as a planetary system. Evolution of the planet and its atmosphere through time. Detailed discussion of processes that have shaped the martian surface, including erosion, sedimentation, volcanism, impact cratering, physical and chemical weathering. Comparison of geologic processes on Mars and Earth. Discussion of past and future spacecraft missions to Mars.  Three hours of lecture per week.
Pre-requisite: Graduate standing or Permission of instructor
Spring alternate years, ABCF grading, 3 credits",1,1,1,1
GEO531,Crystalline Solids,Graduate,3.0,NONE,NONE,"Principles of symmetry, single-crystal, and powder X-ray diffraction techniques and elements of crystal structure determination are considered. Use of crystallographic data in the study of mineral systems. Laboratory in diffraction techniques includes extensive use of digital computers.
Fall, alternate years,",1,1,1,1
GEO532,Solid-State Geochemistry,Graduate,3.0,NONE,NONE,"The application of crystallographic techniques to problems in mineral chemistry. Concepts of the crystalline state, order-disorder, atom radii, chemical bonding, atom coordination, solid solutions, and physical properties of minerals. Emphasis on silicate and sulfide crystal structures.
Fall, alternate years,",1,1,1,1
GEO533,Geochemistry of the Terrestrial Planets,Graduate,3.0,NONE,NONE,"A brief overview of basic principles of geochemistry, including origin of the elements, geochemical and cosmochemical classification of the elements, and a geochemical perspective of the periodic table. This is followed by an examination of the compositions and chemical interactions among the major geochemical reservoirs of the terrestrial planets, including their cores, mantles, crusts, and where relevant, sedimentary shells.
Fall, alternate years, 3 credits, ABCF grading",1,1,1,1
GEO534,Concepts in Geomorphology,Graduate,3.0,NONE,NONE,"Study of landforms and the processes that produce and modify them. Discussion and practice of field, laboratory, and remote sensing methods used to assess landscape evolution.",1,1,1,1
GEO535,Regional Structure and Tectonics,Graduate,3.0,NONE,NONE,"Formation and development of continental crust in Phanerozoic mountain belts. The structure and origin of ocean crust, magmatic arcs, and continental margin sequences are studied using geophysical, geochemical, and geologic data from ancient and modern examples.
Fall, alternate years,",1,1,1,1
GEO540,Solid Earth Geophysics,Graduate,3.0,NONE,NONE,"An overview of solid earth geophysics. Topics include earthquake and exploratory seismology, gravity, magnetics, geochronolgy, and heat flow. There is an emphasis on how all of these techniques shed light on the nature of the Earth's interior and dynamics.
Prerequisite: Physical geology, undergraduate physics and calculus
Fall,",1,1,1,1
GEO542,Inverse Theory and Machine Learning in Earth Science,Graduate,3.0,NONE,NONE,"Introduction to inverse theory and machine learning and their uses in solving various geological problems, with an emphasis on coding using python and related tools
3 credits, Letter graded (A, A-, B+, etc.)",1,1,1,1
